ts_utc,rows,bytes,table_size_pretty,files_done,workers,sevenz_procs,loader_etime_sec
2026-05-27T02:27:34Z,12297414,377290072064,351_GB,18,3,2,43932
2026-05-27T02:32:35Z,12382414,379921219584,354_GB,18,3,2,44232
2026-05-27T02:37:36Z,12467414,382602911744,356_GB,18,3,2,44533
2026-05-27T02:42:37Z,12562414,385312014336,359_GB,18,3,2,44834
2026-05-27T02:47:37Z,12662414,388237492224,362_GB,18,3,2,45134
2026-05-27T02:52:38Z,12717414,390247374848,363_GB,18,3,2,45435
2026-05-27T02:57:38Z,12783721,392854175744,366_GB,19,3,2,45735
2026-05-27T03:02:39Z,12898721,395655004160,368_GB,19,3,2,46036
2026-05-27T03:07:40Z,13028721,398937358336,372_GB,19,3,2,46337
2026-05-27T03:12:40Z,13117190,401905344512,374_GB,20,3,2,46637
2026-05-27T03:17:41Z,13227190,405107195904,377_GB,20,3,2,46938
2026-05-27T03:22:42Z,13352190,408244281344,380_GB,20,3,2,47239
2026-05-27T03:27:42Z,13462190,411434246144,383_GB,20,3,2,47539
2026-05-27T03:32:43Z,13572190,414570692608,386_GB,20,3,2,47840
2026-05-27T03:37:43Z,13677190,417560428544,389_GB,20,3,2,48140
2026-05-27T03:42:44Z,13757190,419970498560,391_GB,20,3,2,48441
2026-05-27T03:47:45Z,13812190,422128697344,393_GB,20,3,2,48742
2026-05-27T03:52:46Z,13882190,424397037568,395_GB,20,3,2,49043
2026-05-27T03:57:46Z,13947190,426769260544,397_GB,20,3,2,49343
2026-05-27T04:02:47Z,14022190,429396000768,400_GB,20,3,2,49644
2026-05-27T04:07:48Z,14105148,432175783936,402_GB,21,3,2,49945
2026-05-27T04:12:48Z,14205148,435326418944,405_GB,21,3,2,50245
2026-05-27T04:17:49Z,14275148,437932589056,408_GB,21,3,2,50546
2026-05-27T04:22:50Z,14330148,440395079680,410_GB,21,3,2,50847
2026-05-27T04:27:50Z,14388750,442850197504,412_GB,22,3,2,51147
2026-05-27T04:32:51Z,14463750,445608763392,415_GB,22,3,2,51448
2026-05-27T04:37:51Z,14478750,447126011904,416_GB,22,3,2,51748
2026-05-27T04:42:52Z,14533750,449662566400,419_GB,22,3,2,52049
2026-05-27T04:47:53Z,14663750,452918730752,422_GB,22,3,2,52350
2026-05-27T04:52:53Z,14813750,456371814400,425_GB,22,3,2,52650
2026-05-27T04:57:54Z,14923750,459420491776,428_GB,22,3,2,52951
2026-05-27T05:02:55Z,14963750,461417340928,430_GB,22,3,2,53252
2026-05-27T05:07:55Z,14983750,463016697856,431_GB,22,3,2,53552
2026-05-27T05:12:56Z,14988750,464085278720,432_GB,22,3,2,53853
2026-05-27T05:17:57Z,15058750,466578497536,435_GB,22,3,2,54154
